********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CStartClientRestoreDistributed::logParameters(1185) - 18693
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CStartClientRestoreDistributed::logParameters(1187) - subclient - 23682
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CStartClientRestoreDistributed::logParameters(1190) - source path - [/rrskumar4/PowerCLI-Example-Scripts]
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CStartClientRestoreDistributed::logParameters(1192) - dest path - []
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CStartClientRestoreDistributed::Initialize(639) - --- 0:06.323834 
1304  1f48  06/30 08:51:24 1087963 JOBRESCACHEDIR: Galaxy 6.1-style Index Cache is not supported. Any index located in the cache sub-folder [C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\2] will be treat as 'not present'.
1304  1f48  06/30 08:51:24 1087963 JOBRESULTSTABLE(C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\CV_JobResults\2\0\10879 removing copy 'C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\CV_JobResults\2\0\1087963'
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CRestore::CreateTaskCreatePolicy(1086) - Limiting number of Tasks per AFile from 20 to 4(max)
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CRestore::CreateTaskCreatePolicy(1089) - Each AFile will be split in to 4 Tasks
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CRestoreTaskSplitByAFile::GetTasks(180) - Index 0 Commcell 2, AFile 1525935, m_ulSubTaskId 0, Agroup 0, NumItems 1, HasExtents no, StartOffset 0, TotalSize 0, AFileType 2, NodeName [NONE]
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CRestoreTaskSplitByAFile::GetTasks(180) - Index 1 Commcell 2, AFile 1525937, m_ulSubTaskId 0, Agroup 0, NumItems 8, HasExtents no, StartOffset 0, TotalSize 0, AFileType 2, NodeName [NONE]
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CRestoreTaskSplitByAFile::GetTasks(180) - Index 2 Commcell 2, AFile 1525937, m_ulSubTaskId 1, Agroup 0, NumItems 8, HasExtents no, StartOffset 8, TotalSize 0, AFileType 2, NodeName [NONE]
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CRestoreTaskSplitByAFile::GetTasks(180) - Index 3 Commcell 2, AFile 1525937, m_ulSubTaskId 2, Agroup 0, NumItems 8, HasExtents no, StartOffset 16, TotalSize 0, AFileType 2, NodeName [NONE]
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CRestoreTaskSplitByAFile::GetTasks(180) - Index 4 Commcell 2, AFile 1525937, m_ulSubTaskId 3, Agroup 0, NumItems 7, HasExtents no, StartOffset 24, TotalSize 0, AFileType 2, NodeName [NONE]
1304  1f48  06/30 08:51:24 1087963 DistributedIDA::ICoordinator::initialize(102) - Loaded 7 tasks
1304  1f48  06/30 08:51:24 1087963 JOBRESULTSTABLE(C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\CV_JobResults\2\0\10879 removing copy 'C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\CV_JobResults\2\0\1087963'
1304  1f48  06/30 08:51:24 1087963 DistributedIDA::CMaster::UpdateJMMisc(489) - Updating client list [8426] to JM Misc table
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CRestore::ProcessRestartString(1409) - This is not a restarted job
1304  1f48  06/30 08:51:24 1087963 CVDC_FileSystem::CRestore::getStreamReservationInfoForNode(532) - Number of workers[7] needed is less than number of workers configured[10]. Limiting the number of workers to [7]
1304  1f48  06/30 08:51:24 1087963 DistributedIDA::CMaster::getReservations(953) - Stream reservation is not required.
1304  1f48  06/30 08:51:24 1087963 DistributedIDA::CMaster::registerNodes(1006) - common agents arguments:1087963 1087963 -j 1087963 -pkg Git -at 134 -jt 1087963:2:1:0:0:57231 -restore -fc 0:0:0 -cn sanbgw -vm Instance001 -controller -phase restore
1304  1f48  06/30 08:51:24 1087963 DistributedIDA::CMaster::registerNodes(1009) - common agents arguments:1087963 1087963 -j 1087963 -pkg Git -at 134 -jt 1087963:2:1:0:0:57231 -restore -fc 0:0:0 -vm Instance001 -controller -phase restore
1304  1f48  06/30 08:51:24 1087963 DistributedIDA::CMaster::registerNodes(1012) - common agents arguments:1087963 1087963 -j 1087963 -pkg Git -at 134 -jt 1087963:2:1:0:0:57231 -restore -fc 0:0:0 -controller -phase restore
1304  1f48  06/30 08:51:24 1087963 DistributedIDA::CMaster::registerNodes(1064) - for sanbgw:  -numWorkers 7  -multinode 
1304  1dc0  06/30 08:51:24 1087963 DistributedIDA::CMaster::streamRefresh(3534) - Started
1304  1c60  06/30 08:51:24 1087963 DistributedIDA::CCoordinatorReports::Run(147) - Reports are printed every 300 seconds
1304  1f48  06/30 08:51:24 1087963 CVRemoteAgentServer::AddAgent() - Added Agent [sanbgw]
1304  1f48  06/30 08:51:25 1087963 CVRemoteAgentServer::StartRemoteAgent() - Starting Remote Agent [sanbgw]
1304  1f48  06/30 08:51:25 1087963 CVRemoteAgentServer::StartRemoteAgent() - Launching agent executable [CVDistributor.exe] on [SanBGW*sanbgw*8400] with args [1087963 1087963 -j 1087963 -pkg Git -at 134 -jt 1087963:2:1:0:0:57231 -restore -fc 0:0:0 -controller -phase restore  -numWorkers 7  -multinode ]
1304  1f48  06/30 08:51:25 1087963 CVRemoteAgentServer::StartRemoteAgent() - Started Agent [sanbgw]
1304  1f48  06/30 08:51:25 1087963 DistributedIDA::CMaster::OnAgentStarted(2024) - Got AgentStarted for sanbgw
1304  1f48  06/30 08:51:26 1087963 CVDC_FileSystem::CRestore::getNodeStartAcknowledgeMessage(611) - NodeInit <?xml version="1.0" encoding="UTF-8" standalone="no" ?><DistributedIDA_NodeInit><options name="MasterNodeName" value="sanbgw"/><options name="DistributedIDAStateFile" value="C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\CV_JobResults\2\0\1087963\DistributedIDAStateFile_1304_1656604284"/></DistributedIDA_NodeInit>
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1591) - will update task with m_iReferenceId 0
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1601) - task 0 reserved for stream 1001 
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1606) - task refID:0 assigned to stream 1001 on node sanbgw
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1622) - will update task with m_iReferenceId 0
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1630) - task 0 started on stream 1001 
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1591) - will update task with m_iReferenceId 1
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1601) - task 1 reserved for stream 1002 
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1606) - task refID:1 assigned to stream 1002 on node sanbgw
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1622) - will update task with m_iReferenceId 1
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1630) - task 1 started on stream 1002 
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1591) - will update task with m_iReferenceId 2
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1601) - task 2 reserved for stream 1003 
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1606) - task refID:2 assigned to stream 1003 on node sanbgw
1304  1f48  06/30 08:51:26 1087963 DistributedIDA::CMaster::DispatchTasks(1622) - will update task with m_iReferenceId 2
