********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
6828  1ee0  06/30 08:53:32 ### RunTerminalCommands() - Error executing command : [cd "C:\Program Files\Metallic\ContentStore\Base"  && CVIPInfo any > "C:\Program Files\Metallic\ContentStore\Base\Temp\CvDiagnostics-Info-Collected1656604410\cvipinfo.txt" 2>>&1], Error : [-1]
6828  4e0   06/30 08:53:32 ### RunTerminalCommands() - Error executing command : [%windir%\System32\net statistics server > "C:\Program Files\Metallic\ContentStore\Base\Temp\CvDiagnostics-Info-Collected1656604410\netstatisticsserver.txt" 2>>&1], Error : [1]
6828  1320  06/30 08:54:18 ### CvDiagnostics::collectDiskVolumeInfo() - Collecting volume information.
6828  1320  06/30 08:54:19 ### CvDiagnostics::checkConnectionWithCS() - Checking network connectivity with CommServer
6828  1320  06/30 08:54:19 ### Cvcl::init() - CVCL: Running in FIPS Mode
6828  1320  06/30 08:54:19 ### CvDiagnostics::checkConnectionWithCS() - Successfully attached to CommServer
6828  1320  06/30 08:54:20 ### isCCSDbEnabled() - Use CCSDb Enabled [0] IsCloudLaptop [0] IsFSCoreLaptop [0]
6828  1320  06/30 08:54:20 ### ExtendedLogCollector::getApplicationTypes() - Found [2] applications for client [8426]
6828  1320  06/30 08:54:20 ### ExtendedLogCollector::createLogCollectorsObj() - Unsupported app type [33]. Skipping it.
6828  1320  06/30 08:54:20 ### ExtendedLogCollector::createLogCollectorsObj() - Unsupported app type [106]. Skipping it.
6828  1320  06/30 08:54:20 ### ExtendedLogCollector::createLogCollectorsObj() - Created [0] log collector objects for client [8426]
6828  1320  06/30 08:54:20 ### CvDiagnostics::runMount() - Can not collect mount information. 'mount' command is not supported on Windows
6828  1320  06/30 08:54:20 ### CvDiagnostics::collectChimneySettings() - Collecting chimney settings
6828  1320  06/30 08:54:20 ### CvDiagnostics::collectTcpLatencyInfo() - Collecting TCP Latency Info
6828  1320  06/30 08:54:20 ### CvDiagnostics::collectNetworkConfigs() - Collecting Network Configs
6828  1320  06/30 08:54:20 ### CvDiagnostics::collectCvFailoverConfig() - CommServeFailover.xml file doesn't exist in job results directory.
6828  1320  06/30 08:54:20 ### CvDiagnostics::collectCvFailoverConfig() - CvFailover folder does not exists
6828  1320  06/30 08:54:20 ### Not collecting All Users profile logs.
6828  1320  06/30 08:54:31 ### CvDiagnostics::addIntermediateInformationFilesToArchive() - Adding collected information to archive
6828  1320  06/30 08:54:31 ### CvDiagnostics::finalize() - Collecting CvDiagnostics.log
6828  1320  06/30 08:54:31 ### CvDiagnostics::deleteTempDir() - Deleting the Temporary Directory created
6828  1320  06/30 08:54:31 ### CvDiagnostics was successful. CvDiagnostics bundle is at C:\Program Files\Metallic\ContentStore\iDataAgent\JobResults\Support_4464_7584_1656604351\CvDiagnostics
